Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_B
Ni,R11_S5,R11,S5,Ni_R11_S5,0.860875046490288,0.6168351220828026,1.4777101685730907,0.7949857513078188,-14.52249682154781,-13.347738292969527
Ni,R11_S6,R11,S6,Ni_R11_S6,0.860875046490288,-0.40730844598800536,0.45356660050228265,0.7949857513078188,-14.52249682154781,-14.161917836879368
Ni,R2_R3,R2,R3,Ni_R2_R3,0.8325384607139531,4.392157809317963,5.224696270031916,0.7949857513078188,-14.52249682154781,-10.368937731961328
Ni,R2_R4,R2,R4,Ni_R2_R4,0.8325384607139531,-1.2635151902393214,-0.43097672952536825,0.7949857513078188,-14.52249682154781,-14.86511718066572
Ni,R2_R5,R2,R5,Ni_R2_R5,0.8325384607139531,-0.5718354612129694,0.26070299950098375,0.7949857513078188,-14.52249682154781,-14.315241651621319
Ni,R2_R6,R2,R6,Ni_R2_R6,0.8325384607139531,-0.561717064835037,0.27082139587891607,0.7949857513078188,-14.52249682154781,-14.307197670674777
Ni,R2_R7,R2,R7,Ni_R2_R7,0.8325384607139531,-1.55002389887471,-0.7174854381607568,0.7949857513078188,-14.52249682154781,-15.092887521656458
Ni,R2_R8,R2,R8,Ni_R2_R8,0.8325384607139531,0.0303218676247531,0.8628603283387062,0.7949857513078188,-14.52249682154781,-13.836535155149752
Ni,R2_R9,R2,R9,Ni_R2_R9,0.8325384607139531,0.00535366903797795,0.8378921297519311,0.7949857513078188,-14.52249682154781,-13.856384517262063
Ni,R2_S1,R2,S1,Ni_R2_S1,0.8325384607139531,-5.12900551759937,-4.296467056885417,0.7949857513078188,-14.52249682154781,-17.938126912735157
Ni,R2_S2,R2,S2,Ni_R2_S2,0.8325384607139531,0.662647055369742,1.495185516083695,0.7949857513078188,-14.52249682154781,-13.333845640699444
Ni,R2_S3,R2,S3,Ni_R2_S3,0.8325384607139531,-0.5099752426711592,0.32256321804279386,0.7949857513078188,-14.52249682154781,-14.266063659307791
Ni,R2_S4,R2,S4,Ni_R2_S4,0.8325384607139531,-0.04030969745535305,0.7922287632586,0.7949857513078188,-14.52249682154781,-13.892686242981007
Ni,R2_S5,R2,S5,Ni_R2_S5,0.8325384607139531,0.6168351220828026,1.4493735827967558,0.7949857513078188,-14.52249682154781,-13.370265474902425
Ni,R2_S6,R2,S6,Ni_R2_S6,0.8325384607139531,-0.40730844598800536,0.42523001472594774,0.7949857513078188,-14.52249682154781,-14.184445018812267
Ni,R3_R4,R3,R4,Ni_R3_R4,4.392157809317963,-1.2635151902393214,3.128642619078642,0.7949857513078188,-14.52249682154781,-12.035270518445913
Ni,R3_R5,R3,R5,Ni_R3_R5,4.392157809317963,-0.5718354612129694,3.8203223481049937,0.7949857513078188,-14.52249682154781,-11.485394989401511
Ni,R3_R6,R3,R6,Ni_R3_R6,4.392157809317963,-0.561717064835037,3.830440744482926,0.7949857513078188,-14.52249682154781,-11.47735100845497
Ni,R3_R7,R3,R7,Ni_R3_R7,4.392157809317963,-1.55002389887471,2.842133910443253,0.7949857513078188,-14.52249682154781,-12.263040859436652
Ni,R3_R8,R3,R8,Ni_R3_R8,4.392157809317963,0.0303218676247531,4.422479676942716,0.7949857513078188,-14.52249682154781,-11.006688492929944
Ni,R3_R9,R3,R9,Ni_R3_R9,4.392157809317963,0.00535366903797795,4.397511478355941,0.7949857513078188,-14.52249682154781,-11.026537855042255
Ni,R3_S1,R3,S1,Ni_R3_S1,4.392157809317963,-5.12900551759937,-0.7368477082814069,0.7949857513078188,-14.52249682154781,-15.108280250515348
Ni,R3_S2,R3,S2,Ni_R3_S2,4.392157809317963,0.662647055369742,5.054804864687705,0.7949857513078188,-14.52249682154781,-10.503998978479636
