Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_A
Pd,R10_S1,R10,S1,Pd_R10_S1,0.8635763395483183,14.866904415760592,15.73048075530891,0.5794859504566918,-29.4447663346112,-20.329173742980316
Pd,R10_S2,R10,S2,Pd_R10_S2,0.8635763395483183,-4.532983594283895,-3.6694072547355763,0.5794859504566918,-29.4447663346112,-31.571136285234324
Pd,R10_S3,R10,S3,Pd_R10_S3,0.8635763395483183,-9.072089386446372,-8.208513046898053,0.5794859504566918,-29.4447663346112,-34.20148431942907
Pd,R10_S4,R10,S4,Pd_R10_S4,0.8635763395483183,-8.232887404129688,-7.369311064581369,0.5794859504566918,-29.4447663346112,-33.715178561081146
Pd,R10_S5,R10,S5,Pd_R10_S5,0.8635763395483183,0.0401816295133296,0.9037579690616478,0.5794859504566918,-29.4447663346112,-28.9210512889267
Pd,R10_S6,R10,S6,Pd_R10_S6,0.8635763395483183,-8.841235349302753,-7.977659009754435,0.5794859504566918,-29.4447663346112,-34.06770764829814
Pd,R11_R2,R11,R2,Pd_R11_R2,-0.38101781795195944,-2.987423267400209,-3.3684410853521682,0.5794859504566918,-29.4447663346112,-31.39673061851387
Pd,R11_R3,R11,R3,Pd_R11_R3,-0.38101781795195944,19.95471326932538,19.57369545137342,0.5794859504566918,-29.4447663346112,-18.102084822022245
Pd,R11_R4,R11,R4,Pd_R11_R4,-0.38101781795195944,0.2370714737056329,-0.14394634424632655,0.5794859504566918,-29.4447663346112,-29.528181218721546
Pd,R11_R5,R11,R5,Pd_R11_R5,-0.38101781795195944,-1.3445142333640794,-1.7255320513160388,0.5794859504566918,-29.4447663346112,-30.44468791541156
Pd,R11_R6,R11,R6,Pd_R11_R6,-0.38101781795195944,-0.1765572858634142,-0.5575751038153737,0.5794859504566918,-29.4447663346112,-29.76787327359664
Pd,R11_R7,R11,R7,Pd_R11_R7,-0.38101781795195944,0.31307883173711387,-0.06793898621484556,0.5794859504566918,-29.4447663346112,-29.484136022610972
Pd,R11_R8,R11,R8,Pd_R11_R8,-0.38101781795195944,10.3478936396416,9.96687582168964,0.5794859504566918,-29.4447663346112,-23.669101825995554
Pd,R11_R9,R11,R9,Pd_R11_R9,-0.38101781795195944,13.723859477181083,13.342841659229123,0.5794859504566918,-29.4447663346112,-21.712777053919666
Pd,R11_S1,R11,S1,Pd_R11_S1,-0.38101781795195944,14.866904415760592,14.485886597808634,0.5794859504566918,-29.4447663346112,-21.05039857127221
Pd,R11_S2,R11,S2,Pd_R11_S2,-0.38101781795195944,-4.532983594283895,-4.914001412235854,0.5794859504566918,-29.4447663346112,-32.29236111352622
Pd,R11_S3,R11,S3,Pd_R11_S3,-0.38101781795195944,-9.072089386446372,-9.453107204398332,0.5794859504566918,-29.4447663346112,-34.922709147720965
Pd,R11_S4,R11,S4,Pd_R11_S4,-0.38101781795195944,-8.232887404129688,-8.613905222081648,0.5794859504566918,-29.4447663346112,-34.43640338937304
Pd,R11_S5,R11,S5,Pd_R11_S5,-0.38101781795195944,0.0401816295133296,-0.34083618843862984,0.5794859504566918,-29.4447663346112,-29.642276117218593
Pd,R11_S6,R11,S6,Pd_R11_S6,-0.38101781795195944,-8.841235349302753,-9.222253167254713,0.5794859504566918,-29.4447663346112,-34.788932476590034
Pd,R2_R3,R2,R3,Pd_R2_R3,-2.987423267400209,19.95471326932538,16.96729000192517,0.5794859504566918,-29.4447663346112,-19.612460161171267
Pd,R2_R4,R2,R4,Pd_R2_R4,-2.987423267400209,0.2370714737056329,-2.750351793694576,0.5794859504566918,-29.4447663346112,-31.038556557870567
Pd,R2_R5,R2,R5,Pd_R2_R5,-2.987423267400209,-1.3445142333640794,-4.331937500764289,0.5794859504566918,-29.4447663346112,-31.955063254560578
Pd,R2_R6,R2,R6,Pd_R2_R6,-2.987423267400209,-0.1765572858634142,-3.163980553263623,0.5794859504566918,-29.4447663346112,-31.27824861274566
Pd,R2_R7,R2,R7,Pd_R2_R7,-2.987423267400209,0.31307883173711387,-2.674344435663095,0.5794859504566918,-29.4447663346112,-30.994511361759994
Pd,R2_R8,R2,R8,Pd_R2_R8,-2.987423267400209,10.3478936396416,7.360470372241391,0.5794859504566918,-29.4447663346112,-25.179477165144576
Pd,R2_R9,R2,R9,Pd_R2_R9,-2.987423267400209,13.723859477181083,10.736436209780875,0.5794859504566918,-29.4447663346112,-23.223152393068688
Pd,R2_S1,R2,S1,Pd_R2_S1,-2.987423267400209,14.866904415760592,11.879481148360384,0.5794859504566918,-29.4447663346112,-22.56077391042123
Pd,R2_S2,R2,S2,Pd_R2_S2,-2.987423267400209,-4.532983594283895,-7.520406861684103,0.5794859504566918,-29.4447663346112,-33.80273645267524
Pd,R2_S3,R2,S3,Pd_R2_S3,-2.987423267400209,-9.072089386446372,-12.05951265384658,0.5794859504566918,-29.4447663346112,-36.43308448686999
Pd,R2_S4,R2,S4,Pd_R2_S4,-2.987423267400209,-8.232887404129688,-11.220310671529896,0.5794859504566918,-29.4447663346112,-35.94677872852206
Pd,R2_S5,R2,S5,Pd_R2_S5,-2.987423267400209,0.0401816295133296,-2.9472416378868793,0.5794859504566918,-29.4447663346112,-31.152651456367614
Pd,R2_S6,R2,S6,Pd_R2_S6,-2.987423267400209,-8.841235349302753,-11.828658616702961,0.5794859504566918,-29.4447663346112,-36.299307815739056
Pd,R3_R4,R3,R4,Pd_R3_R4,19.95471326932538,0.2370714737056329,20.191784743031015,0.5794859504566918,-29.4447663346112,-17.74391076137894
Pd,R3_R5,R3,R5,Pd_R3_R5,19.95471326932538,-1.3445142333640794,18.6101990359613,0.5794859504566918,-29.4447663346112,-18.660417458068956
