Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_C
Pt,R4_S1,R4,S1,Pt_R4_S1,0.42904203418192965,-9.158255511374229,-8.7292134771923,0.6652986217594016,-15.032212083486629,-20.83974577890626
Pt,R4_S2,R4,S2,Pt_R4_S2,0.42904203418192965,2.579258072832707,3.0083001070146365,0.6652986217594016,-15.032212083486629,-13.03079416845113
Pt,R4_S3,R4,S3,Pt_R4_S3,0.42904203418192965,8.269724236093856,8.698766270275785,0.6652986217594016,-15.032212083486629,-9.24493487286498
Pt,R4_S4,R4,S4,Pt_R4_S4,0.42904203418192965,6.926284812115375,7.355326846297304,0.6652986217594016,-15.032212083486629,-10.138723270055106
Pt,R4_S5,R4,S5,Pt_R4_S5,0.42904203418192965,-1.6316010428853815,-1.202559008703452,0.6652986217594016,-15.032212083486629,-15.832272934561388
Pt,R4_S6,R4,S6,Pt_R4_S6,0.42904203418192965,8.035351954600149,8.464393988782078,0.6652986217594016,-15.032212083486629,-9.400862428721348
Pt,R5_R6,R5,R6,Pt_R5_R6,1.2040603594134265,0.05186161340941125,1.2559219728228377,0.6652986217594016,-15.032212083486629,-14.196648925930246
Pt,R5_R7,R5,R7,Pt_R5_R7,1.2040603594134265,0.7136130565943593,1.9176734160077857,0.6652986217594016,-15.032212083486629,-13.756386602832006
Pt,R5_R8,R5,R8,Pt_R5_R8,1.2040603594134265,-10.520879474540566,-9.316819115127139,0.6652986217594016,-15.032212083486629,-21.23067899996236
Pt,R5_R9,R5,R9,Pt_R5_R9,1.2040603594134265,-13.438588550042265,-12.234528190628838,0.6652986217594016,-15.032212083486629,-23.17182682658854
Pt,R5_S1,R5,S1,Pt_R5_S1,1.2040603594134265,-9.158255511374229,-7.9541951519608025,0.6652986217594016,-15.032212083486629,-20.324127155291464
Pt,R5_S2,R5,S2,Pt_R5_S2,1.2040603594134265,2.579258072832707,3.7833184322461335,0.6652986217594016,-15.032212083486629,-12.515175544836335
Pt,R5_S3,R5,S3,Pt_R5_S3,1.2040603594134265,8.269724236093856,9.473784595507283,0.6652986217594016,-15.032212083486629,-8.729316249250184
Pt,R5_S4,R5,S4,Pt_R5_S4,1.2040603594134265,6.926284812115375,8.130345171528802,0.6652986217594016,-15.032212083486629,-9.62310464644031
Pt,R5_S5,R5,S5,Pt_R5_S5,1.2040603594134265,-1.6316010428853815,-0.42754068347195506,0.6652986217594016,-15.032212083486629,-15.316654310946593
Pt,R5_S6,R5,S6,Pt_R5_S6,1.2040603594134265,8.035351954600149,9.239412314013576,0.6652986217594016,-15.032212083486629,-8.885243805106553
Pt,R6_R7,R6,R7,Pt_R6_R7,0.05186161340941125,0.7136130565943593,0.7654746700037705,0.6652986217594016,-15.032212083486629,-14.522942840541388
Pt,R6_R8,R6,R8,Pt_R6_R8,0.05186161340941125,-10.520879474540566,-10.469017861131155,0.6652986217594016,-15.032212083486629,-21.997235237671745
Pt,R6_R9,R6,R9,Pt_R6_R9,0.05186161340941125,-13.438588550042265,-13.386726936632854,0.6652986217594016,-15.032212083486629,-23.938383064297923
Pt,R6_S1,R6,S1,Pt_R6_S1,0.05186161340941125,-9.158255511374229,-9.106393897964818,0.6652986217594016,-15.032212083486629,-21.090683393000845
Pt,R6_S2,R6,S2,Pt_R6_S2,0.05186161340941125,2.579258072832707,2.6311196862421182,0.6652986217594016,-15.032212083486629,-13.281731782545718
Pt,R6_S3,R6,S3,Pt_R6_S3,0.05186161340941125,8.269724236093856,8.321585849503267,0.6652986217594016,-15.032212083486629,-9.495872486959566
Pt,R6_S4,R6,S4,Pt_R6_S4,0.05186161340941125,6.926284812115375,6.978146425524786,0.6652986217594016,-15.032212083486629,-10.389660884149695
Pt,R6_S5,R6,S5,Pt_R6_S5,0.05186161340941125,-1.6316010428853815,-1.5797394294759703,0.6652986217594016,-15.032212083486629,-16.083210548655977
Pt,R6_S6,R6,S6,Pt_R6_S6,0.05186161340941125,8.035351954600149,8.08721356800956,0.6652986217594016,-15.032212083486629,-9.651800042815935
Pt,R7_R8,R7,R8,Pt_R7_R8,0.7136130565943593,-10.520879474540566,-9.807266417946206,0.6652986217594016,-15.032212083486629,-21.556972914573503
Pt,R7_R9,R7,R9,Pt_R7_R9,0.7136130565943593,-13.438588550042265,-12.724975493447905,0.6652986217594016,-15.032212083486629,-23.49812074119968
Pt,R7_S1,R7,S1,Pt_R7_S1,0.7136130565943593,-9.158255511374229,-8.444642454779869,0.6652986217594016,-15.032212083486629,-20.650421069902606
Pt,R7_S2,R7,S2,Pt_R7_S2,0.7136130565943593,2.579258072832707,3.2928711294270663,0.6652986217594016,-15.032212083486629,-12.841469459447477
Pt,R7_S3,R7,S3,Pt_R7_S3,0.7136130565943593,8.269724236093856,8.983337292688216,0.6652986217594016,-15.032212083486629,-9.055610163861324
Pt,R7_S4,R7,S4,Pt_R7_S4,0.7136130565943593,6.926284812115375,7.639897868709734,0.6652986217594016,-15.032212083486629,-9.949398561051453
Pt,R7_S5,R7,S5,Pt_R7_S5,0.7136130565943593,-1.6316010428853815,-0.9179879862910223,0.6652986217594016,-15.032212083486629,-15.642948225557735
